instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,OptionType
13045,BAJAJHCARE,Bajaj Healthcare Ltd,340.6,0,0,0.050000,1,EQ,CASH,NSE,INE411U01027,1,6863,-
830,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,14.2,0,0,0.050000,1,EQ,CASH,NSE,INE306A01021,1,308,-
828,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5011.05,0,0,0.050000,1,EQ,CASH,NSE,INE118A01012,1,305,-
5487,BALPHARMA,Bal Pharma Ltd,107.9,0,0,0.050000,1,EQ,CASH,NSE,INE083D01012,1,13441,-
5952,BALAMINES,Balaji Amines Ltd,2905.5,0,0,0.050000,1,EQ,CASH,NSE,INE050E01027,1,14501,-
3554,BALAJITELE,Balaji Telefilms Ltd,70.95,0,0,0.050000,1,EQ,CASH,NSE,INE794B01026,1,9158,-
6662,BALAXI,Balaxi Pharmaceuticals Ltd,351.6,0,0,0.050000,1,EQ,CASH,NSE,INE618N01014,1,11309,-
840,BALKRISIND,Balkrishna Industries Ltd,2136.2,0,0,0.050000,1,EQ,CASH,NSE,INE787D01026,1,335,-
29305,BALKRISHNA,Balkrishna Paper Mills Ltd,48.4,0,0,0.050000,1,EQ,CASH,NSE,INE875R01011,1,10181,-
434,BALMLAWRIE,Balmer Lawrie & Company Ltd,112.7,0,0,0.050000,1,EQ,CASH,NSE,INE164A01016,1,338,-
843,BALRAMCHIN,Balrampur Chini Mills Ltd,489.4,0,0,0.050000,1,EQ,CASH,NSE,INE119A01028,1,341,-
326,BANARBEADS,Banaras Beads Ltd,92,0,0,0.050000,1,EQ,CASH,NSE,INE655B01011,1,347,-
328,BANCOINDIA,Banco Products (India) Ltd,136.15,0,0,0.050000,1,EQ,CASH,NSE,INE213C01025,1,13880,-
41509,BANDHANBNK,Bandhan Bank Ltd,307.4,0,0,0.050000,1,EQ,CASH,NSE,INE545U01014,1,2263,-
9247,BANG,Bang Overseas Ltd,32,0,0,0.050000,1,EQ,CASH,NSE,INE863I01016,1,15303,-
847,BANKBARODA,Bank of Baroda,111.6,0,0,0.050000,1,EQ,CASH,NSE,INE028A01039,1,4668,-
850,BANKINDIA,Bank of India,45.85,0,0,0.050000,1,EQ,CASH,NSE,INE084A01016,1,4745,-
4030,MAHABANK,Bank of Maharashtra,16.7,0,0,0.050000,1,EQ,CASH,NSE,INE457A01014,1,11377,-
16119,BANKA,Banka Bioloo Ltd,81.65,0,0,0.050000,1,EQ,CASH,NSE,INE862Y01015,1,822,-
7591,BASML,Bannari Amman Spinning Mills Ltd,77.35,0,0,0.050000,1,EQ,CASH,NSE,INE186H01022,1,12034,-
436,BANARISUG,Bannari Amman Sugars Ltd,2657.3,0,0,0.050000,1,EQ,CASH,NSE,INE459A01010,1,350,-
4413,BANSWRAS,Banswara Syntex Ltd,212.1,0,0,0.050000,1,EQ,CASH,NSE,INE629D01012,1,14511,-
